adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/m2teNSCH7sxkuXHossRJXhxPKeT.jpg,"[28, 12, 35, 10751, 878]",939243,en,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",247.338,/nyEr1VqvKx1YiesMC3oTB2fZvpY.jpg,2024-12-19,Sonic the Hedgehog 3,False,0.0,0
False,/tl3WVdgrDQK70tSVHMAd59XxR3j.jpg,"[10749, 35]",1290287,en,Hot Frosty,"When a young widow's magic scarf brings a dashing snowman to life, can he help her rediscover romance, laughter and holiday cheer before he melts away?",227.076,/uxn8xD43cHrTxiS9qXjAkezRyGt.jpg,2024-11-12,Hot Frosty,False,6.511,89
False,/2KGxQFV9Wp1MshPBf8BuqWUgVAz.jpg,"[16, 28, 12, 35, 10751]",940551,en,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",240.166,/apQL85BMRgkBWQq6pBXKOLfCyaV.jpg,2023-12-06,Migration,False,7.4,1804
False,/rI9Mh0Q0XAtqTiSgKI0M2fflO1X.jpg,"[16, 35]",1329336,en,The Bad Guys: Haunted Heist,The crafty Bad Guys crew embarks on a high-stakes Halloween heist to swipe a priceless amulet from a spooky mansion. What could go wrong?,298.533,/oEJC05CqPugMxC4rFu9r6r6vg6m.jpg,2024-10-02,The Bad Guys: Haunted Heist,False,7.2,87
False,/8jujdLr4OAQoWGgfNmaE4RR0mqb.jpg,"[10749, 35, 10770]",1104171,en,Meet Me Next Christmas,"On a quest to meet the man of her dreams, a hopeless romantic races across New York City to find a ticket to a sold-out Pentatonix Christmas concert.",192.937,/apsmOwNPOmx0QBArbRDS9r64vF9.jpg,2024-11-05,Meet Me Next Christmas,False,6.381,118
False,/5lWIYxYEqWi8j3ZloxXntw3ImBo.jpg,"[16, 10751, 35, 14]",360920,en,The Grinch,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,307.568,/1Bc9VNd9CIHIyJtPKFqSQzrXWru.jpg,2018-11-08,The Grinch,False,6.9,3892
False,/ubiu5Y7nP187ZFWUzjPj7Hgw6Go.jpg,[35],18785,en,The Hangover,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",131.07,/uluhlXubGu1VxU63X9VHCLWDAYP.jpg,2009-06-02,The Hangover,False,7.3,16796
False,/cya84OrwjilxzuM2CWOEYYiIylM.jpg,"[16, 18, 35, 10749]",820530,ja,劇場版 抱かれたい男1位に脅されています。～スペイン編～,"Takato Saijo has reigned as the idol industry's ""Most Huggable"" for five years, that is, until freshman actor Azumaya. Takato was always considered brusque while Azumaya's smile is winning over admirers by comparison. The whole fiasco drives Takuto to over indulge in alcohol and his actions catch the attention of the last person he wants to see. To his surprise, Azumaya uses this new info to blackmail Takuto for physical affection.",228.258,/bow6kX2YPoeyb9ZNwqbFxp5eqKr.jpg,2021-10-09,Dakaichi: I'm Being Harassed by the Sexiest Man of the Year—The Movie: In Spain,False,7.5,15
False,/mKOBdgaEFguADkJhfFslY7TYxIh.jpg,"[28, 878, 35]",365177,en,Borderlands,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",218.355,/3NPUQ6Ywayb5ES2IP1HWrDRt1Gc.jpg,2024-08-07,Borderlands,False,5.832,802
False,/zGLQmrmIB56kMZPnzqReIOBay1B.jpg,"[28, 35, 80]",507241,en,The Killer's Game,"When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",209.113,/4bKlTeOUr5AKrLky8mwWvlQqyVd.jpg,2024-09-12,The Killer's Game,False,6.849,126
False,/9ewYb0LIBJNds8ZMoobKYUd647g.jpg,"[35, 18]",1120911,en,Saturday Night,"At 11:30pm on October 11, 1975, a ferocious troupe of young comedians and writers changed television forever. This is the story of what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live.",175.624,/oCf5O6uxooTvRwKVnLHwGqZUifq.jpg,2024-09-27,Saturday Night,False,7.074,74
